District_Name,Percentage_Size_1_HH,Percentage_Size_2_HH,Percentage_Size_3_HH,Percentage_Size_4_HH,Percentage_Size_5_HH,Percentage_Size_6_8_HH,Percentage_9_Above_HH
Kupwara,0.85,3.78,5.99,10.02,13.94,40.02,25.4
Badgam,0.85,2.19,3.77,8.06,11.99,59.59,13.55
Leh(Ladakh),7.85,7.14,11.08,21.28,18.31,25.88,8.46
Kargil,3.78,4.58,5.4,9.07,12.94,37.51,26.72
Punch,1.72,8.37,12.0,17.81,20.28,35.38,4.45
Rajouri,1.7,10.3,14.57,20.81,21.1,28.79,2.73
Kathua,2.1,6.27,10.91,22.63,23.43,28.05,6.6
Baramula,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandipore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Srinagar,1.39,3.96,9.21,22.69,24.79,29.63,8.33
Ganderbal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulwama,0.87,2.82,6.72,14.6,19.22,38.69,17.07
Shupiyan,0.75,3.24,7.79,15.02,19.19,42.15,11.85
Anantnag,1.08,3.61,8.02,14.34,18.59,33.68,20.68
Kulgam,1.13,4.59,9.56,16.46,20.04,40.05,8.17
Doda,2.27,8.24,11.69,18.92,21.31,32.24,5.33
Ramban,1.88,9.9,13.29,17.06,18.2,33.85,5.81
Kishtwar,2.71,8.74,11.61,17.91,20.46,33.22,5.35
Udhampur,1.88,5.31,9.49,19.22,21.64,33.24,9.23
Reasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samba,2.04,6.34,13.55,26.13,24.49,23.68,3.77
Chamba,5.13,6.63,9.85,20.41,21.25,31.36,5.37
Kangra,4.68,8.67,14.63,27.36,21.34,20.3,3.03
Lahul AND Spiti,14.98,9.28,11.87,16.5,15.64,25.32,6.41
Kullu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandi,5.05,9.3,13.19,26.99,19.12,22.17,4.17
Hamirpur,4.46,9.17,10.93,18.88,18.77,29.6,8.18
Una,4.04,7.34,12.02,25.24,22.49,24.46,4.42
Bilaspur,5.85,13.09,14.09,20.12,18.66,24.02,4.18
Solan,6.9,9.41,12.65,24.81,18.29,21.89,6.04
Sirmaur,4.34,6.84,9.36,20.06,19.46,30.37,9.56
Shimla,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kinnaur,14.4,14.91,14.42,18.8,15.02,19.24,3.22
Gurdaspur,1.82,4.88,10.18,23.34,23.81,29.25,6.71
Kapurthala,3.29,7.47,12.36,24.4,21.87,25.27,5.33
Jalandhar,3.52,8.01,13.42,24.81,21.91,23.61,4.73
Hoshiarpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shahid Bhagat Singh Nagar,3.86,8.16,13.4,23.86,21.68,24.76,4.28
Fatehgarh Sahib,2.91,6.19,11.19,23.2,22.04,27.14,7.32
Ludhiana,3.49,7.23,12.3,24.11,21.93,25.4,5.54
Moga,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firozpur,1.59,5.56,10.25,22.4,23.44,30.12,6.64
Muktsar,1.81,5.51,10.95,23.01,22.74,29.25,6.73
Faridkot,1.91,5.73,11.14,23.26,22.77,28.77,6.42
Bathinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mansa,1.89,5.29,10.53,23.45,22.77,29.36,6.71
Patiala,2.11,5.86,11.23,24.91,22.47,26.86,6.54
Amritsar,1.87,5.78,11.09,23.54,22.99,28.74,5.98
Tarn Taran,1.36,4.48,9.21,20.16,22.61,33.35,8.84
Rupnagar,2.83,5.72,10.46,24.17,22.76,27.27,6.78
Sahibzada Ajit Singh Nagar,3.13,7.48,12.9,25.98,20.79,23.73,5.98
Sangrur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barnala,2.43,5.86,10.95,22.81,22.13,28.23,7.59
Chandigarh,6.47,10.38,15.33,27.24,18.89,18.29,3.4
Uttarkashi,7.01,8.99,9.74,18.22,20.13,29.75,6.16
Chamoli,8.63,10.02,12.46,20.25,19.89,25.48,3.27
Rudraprayag,7.76,9.47,11.92,20.13,19.98,26.61,4.14
Tehri Garhwal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dehradun,3.94,7.85,12.87,24.17,20.16,24.38,6.63
Garhwal,11.09,11.71,13.79,19.76,17.9,22.3,3.46
Pithoragarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bageshwar,6.5,9.7,13.17,21.22,19.83,26.14,3.44
Almora,9.27,10.32,12.57,18.48,18.96,25.91,4.49
Champawat,5.83,7.03,10.77,18.97,20.61,31.54,5.24
Nainital,4.26,7.03,11.49,21.58,20.79,28.54,6.33
Udham Singh Nagar,2.5,6.09,10.18,19.36,20.69,33.16,8.03
Hardwar,2.56,6.45,9.86,17.28,18.46,34.9,10.5
Panchkula,3.68,8.26,12.98,26.11,20.44,23.21,5.34
Ambala,2.51,6.5,10.96,24.59,22.55,26.08,6.8
Yamunanagar,2.41,6.16,10.2,23.24,22.77,28.33,6.9
Kurukshetra,1.97,6.21,10.48,24.49,23.06,27.22,6.56
Kaithal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnal,2.02,6.14,10.22,23.3,23.33,28.77,6.21
Panipat,2.17,5.99,10.51,22.81,22.76,29.52,6.24
Sonipat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jind,1.73,5.33,9.72,22.5,22.59,29.97,8.16
Fatehabad,1.72,5.53,9.78,23.41,23.57,29.28,6.72
Sirsa,1.75,5.46,9.9,23.76,22.56,29.28,7.28
Hisar,1.8,5.27,9.97,24.72,23.39,28.28,6.59
Bhiwani,1.74,5.31,9.99,24.35,22.52,28.81,7.28
Rohtak,2.1,5.67,10.64,24.79,22.73,27.41,6.65
Jhajjar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahendragarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewari,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gurgaon,4.87,10.29,15.13,25.54,18.3,20.69,5.19
Mewat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faridabad,2.84,6.99,12.1,23.87,21.09,26.82,6.29
Palwal,1.36,4.74,7.14,15.35,19.85,37.83,13.73
North West,3.32,6.93,11.99,23.67,21.18,26.85,6.06
North,3.88,6.88,11.66,23.17,21.47,26.53,6.41
North East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,3.88,8.22,14.19,25.49,19.4,23.41,5.4
New Delhi,7.87,8.76,14.17,26.53,18.67,20.34,3.67
Central,3.9,7.85,12.96,23.07,19.7,25.34,7.17
West,3.55,7.98,13.56,25.46,20.61,23.67,5.18
South West,4.56,8.53,14.2,26.2,19.91,21.94,4.66
South,4.43,8.66,13.48,23.55,19.8,24.95,5.14
Ganganagar,2.63,7.24,10.25,22.52,22.25,28.5,6.61
Hanumangarh,1.9,5.94,9.24,22.93,21.73,29.7,8.57
Bikaner,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Churu,1.39,4.5,7.15,17.48,20.61,35.47,13.39
Jhunjhunun,1.7,5.0,8.68,19.59,20.99,32.0,12.03
Alwar,2.29,6.41,8.39,18.19,19.24,32.7,12.77
Bharatpur,2.01,6.15,7.73,14.95,18.42,36.53,14.22
Dhaulpur,2.42,6.97,8.55,12.98,17.11,38.8,13.16
Karauli,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sawai Madhopur,3.24,9.35,9.8,17.22,19.7,32.6,8.1
Dausa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaipur,2.42,6.48,9.37,19.72,19.58,29.86,12.57
Sikar,1.56,4.42,6.83,16.29,20.02,34.98,15.91
Nagaur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jodhpur,2.12,6.31,8.5,16.76,19.31,35.83,11.16
Jaisalmer,2.73,7.4,8.49,13.89,17.35,38.78,11.35
Barmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalor,2.02,6.11,8.0,13.68,18.76,41.12,10.31
Sirohi,3.34,7.91,10.37,16.93,19.69,34.65,7.11
Pali,4.42,10.24,10.42,16.27,18.71,32.52,7.41
Ajmer,3.72,8.73,10.21,18.38,19.09,30.42,9.45
Tonk,3.18,8.61,9.79,18.29,19.38,31.54,9.21
Bundi,3.42,9.22,10.46,18.86,20.82,30.7,6.53
Bhilwara,5.04,11.04,0.0,0.0,18.49,28.72,6.6
Rajsamand,5.17,11.47,11.06,17.52,18.25,30.08,6.45
Dungarpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banswara,2.04,9.83,12.88,19.59,20.11,31.75,3.79
Chittaurgarh,4.98,11.38,12.59,21.03,18.78,25.9,5.34
Kota,3.95,8.52,11.47,21.75,20.8,27.14,6.36
Baran,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhalawar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udaipur,3.33,10.36,11.88,19.51,18.98,30.45,5.49
Pratapgarh,2.8,7.37,8.19,13.74,16.77,35.58,15.55
Saharanpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muzaffarnagar,1.74,5.35,7.52,14.13,17.03,38.38,15.85
Bijnor,1.95,6.35,8.56,14.76,17.69,38.28,12.42
Moradabad,1.85,6.06,8.4,13.69,16.73,39.15,14.12
Rampur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jyotiba Phule Nagar,1.72,6.28,8.35,14.08,17.7,39.96,11.91
Meerut,1.77,5.31,8.2,16.03,18.25,36.24,14.2
Baghpat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghaziabad,2.16,6.22,10.57,19.66,19.47,31.77,10.16
Gautam Buddha Nagar,4.08,9.31,12.91,20.86,18.01,26.67,8.16
Bulandshahr,2.44,5.82,7.45,13.73,17.84,38.87,13.86
Aligarh,2.31,5.9,7.77,13.57,17.26,38.9,14.3
Mahamaya Nagar,2.46,6.26,7.72,13.27,17.36,38.96,13.97
Mathura,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agra,1.8,5.31,7.51,13.93,17.19,38.46,15.79
Firozabad,1.93,5.87,7.84,13.25,17.3,40.08,13.73
Mainpuri,2.46,6.19,7.81,13.01,16.99,39.33,14.21
Budaun,3.14,6.9,8.1,11.65,14.67,39.24,16.31
Bareilly,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pilibhit,2.59,7.47,9.74,14.88,18.07,36.8,10.45
Shahjahanpur,3.37,7.94,9.58,13.57,15.82,36.85,12.87
Kheri,3.07,8.36,10.13,14.77,17.37,35.3,11.0
Sitapur,3.65,8.72,10.28,14.22,16.65,35.13,11.36
Hardoi,3.48,7.55,8.98,13.26,16.31,37.37,13.06
Unnao,3.69,7.77,9.52,14.98,18.1,35.62,10.32
Lucknow,2.99,7.25,11.1,19.33,19.03,30.86,9.44
Rae Bareli,3.59,7.66,9.41,14.74,17.55,35.67,11.4
Farrukhabad,2.71,6.67,8.59,12.99,15.98,37.41,15.65
Kannauj,2.65,6.77,8.87,13.66,16.58,37.23,14.24
Etawah,2.97,6.71,8.43,14.63,17.96,36.7,12.6
Auraiya,2.88,6.99,8.91,15.42,18.48,36.87,10.44
Kanpur Dehat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kanpur Nagar,2.86,7.0,11.05,19.65,19.76,31.14,8.53
Jalaun,2.82,6.39,7.87,15.11,18.3,35.54,13.97
Jhansi,2.92,7.77,9.21,19.46,19.9,30.35,10.39
Lalitpur,3.52,9.35,8.33,15.26,19.58,33.99,9.97
Mahoba,3.8,8.57,7.74,14.33,18.09,35.09,12.39
Banda,3.77,8.25,8.4,13.79,17.16,36.22,12.41
Chitrakoot,3.32,7.72,7.67,13.02,16.69,37.48,14.09
Fatehpur,3.05,7.2,8.88,14.49,17.66,37.32,11.41
Kaushambi,3.37,7.97,8.57,12.68,16.16,38.34,12.91
Allahabad,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bara Banki,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faizabad,3.71,6.86,8.16,13.01,16.33,36.19,15.75
Ambedkar Nagar,2.2,4.86,5.86,10.61,15.04,38.58,22.84
Sultanpur,3.15,6.21,7.08,11.85,15.44,36.93,19.34
Bahraich,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrawasti,3.74,9.57,9.55,12.7,14.46,34.38,15.61
Balrampur,3.45,6.92,7.26,10.3,12.55,36.15,23.39
Gonda,3.23,6.57,7.47,11.56,14.27,36.38,20.51
Siddharthnagar,3.12,6.2,6.24,9.48,12.34,37.12,25.49
Basti,3.07,5.59,6.38,10.41,14.18,37.57,22.79
Sant Kabir Nagar,2.24,4.98,5.71,9.62,13.85,38.75,24.85
Mahrajganj,2.18,5.66,6.04,11.77,17.89,38.62,17.85
Gorakhpur,0.0,0.0,6.13,11.92,16.9,37.81,20.24
Kushinagar,1.63,4.67,6.08,11.52,17.24,40.23,18.63
Deoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azamgarh,1.77,4.2,5.1,9.17,13.65,38.76,27.35
Mau,1.47,3.95,5.32,9.69,14.44,40.26,24.88
Ballia,1.63,4.43,5.74,10.67,15.42,38.97,23.14
Jaunpur,2.17,4.87,5.6,9.84,13.85,37.36,26.3
Ghazipur,1.67,4.32,5.36,10.09,14.89,39.03,24.63
Chandauli,1.74,5.34,6.43,11.93,16.79,37.9,19.88
Varanasi,1.61,4.65,6.93,13.5,17.2,36.11,20.01
Sant Ravidas Nagar (Bhadohi),1.76,5.2,5.7,9.72,13.76,35.81,28.04
Mirzapur,2.38,6.79,7.3,12.91,17.34,35.79,17.49
Sonbhadra,3.32,8.65,8.37,14.69,18.73,35.74,10.51
Etah,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kanshiram Nagar,2.91,6.58,7.87,11.68,15.1,39.28,16.57
Pashchim Champaran,2.55,9.45,9.95,14.54,17.8,35.18,10.53
Purba Champaran,2.06,11.18,11.71,15.78,17.94,33.51,7.82
Sheohar,4.52,18.09,14.96,16.79,16.43,26.52,2.68
Sitamarhi,3.15,15.55,13.99,17.09,17.63,28.75,3.84
Madhubani,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supaul,1.75,10.47,12.13,18.22,20.35,32.02,5.05
Araria,2.23,12.09,13.12,17.35,19.02,31.2,4.99
Kishanganj,3.85,11.26,13.39,15.92,16.51,32.29,6.78
Purnia,2.66,11.73,12.92,16.74,17.79,32.02,6.14
Katihar,3.28,11.54,13.46,17.06,17.62,30.94,6.1
Madhepura,1.52,11.5,13.06,18.2,19.4,31.58,4.75
Saharsa,1.56,10.6,11.84,17.44,19.36,33.27,5.93
Darbhanga,2.33,12.05,12.75,17.54,18.85,30.98,5.5
Muzaffarpur,2.37,10.98,12.07,17.39,18.99,31.37,6.84
Gopalganj,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siwan,2.0,5.79,7.29,11.97,15.83,37.38,19.73
Saran,2.08,6.06,7.46,12.1,15.8,37.13,19.38
Vaishali,1.67,8.12,9.69,15.99,19.42,34.44,10.68
Samastipur,2.24,11.15,11.77,16.73,19.11,32.25,6.74
Begusarai,2.31,11.98,12.34,16.96,18.8,30.98,6.63
Khagaria,1.69,12.03,12.48,16.34,18.39,33.34,5.72
Bhagalpur,1.74,8.73,11.24,17.12,18.67,33.95,8.55
Banka,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Munger,1.87,8.89,11.67,18.17,19.74,32.52,7.13
Lakhisarai,1.53,6.11,7.84,13.61,17.56,37.98,15.37
Sheikhpura,1.85,6.19,7.27,12.32,15.97,37.65,18.73
Nalanda,2.02,6.94,8.08,14.1,17.11,36.09,15.67
Patna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,2.01,6.08,7.09,11.99,15.31,36.19,21.33
Buxar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaimur (Bhabua),1.9,6.51,7.19,11.52,15.15,36.99,20.74
Rohtas,1.78,5.95,7.23,12.57,16.66,36.61,19.2
Aurangabad,7.5,22.59,29.92,57.3,55.75,37.04,19.52
Gaya,1.5,6.24,7.4,12.56,16.53,37.95,17.81
Nawada,1.48,5.69,6.69,11.68,15.66,38.28,20.53
Jamui,1.78,8.21,9.87,15.32,17.87,33.39,13.57
Jehanabad,1.73,6.52,7.96,13.5,16.85,36.26,17.18
Arwal,1.92,6.83,8.34,13.91,17.1,36.71,15.19
North  District,7.69,10.94,15.2,18.6,16.1,25.34,6.13
West District,4.21,7.37,14.08,21.04,18.52,28.77,6.01
South District,4.86,7.79,14.99,21.49,18.35,27.02,5.49
East District,5.41,9.53,17.36,23.1,17.72,22.49,4.39
Tawang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Kameng,8.77,10.3,14.92,20.08,16.87,25.27,3.79
East Kameng,3.38,7.31,11.13,14.76,16.46,38.33,8.63
Papum Pare,5.8,9.37,13.83,19.04,15.81,28.03,8.12
Upper Subansiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Siang,4.97,6.81,9.49,14.14,16.26,36.6,11.72
East Siang,6.36,8.37,10.3,15.45,16.68,32.84,10.0
Upper Siang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changlang,5.03,7.49,11.94,18.28,18.64,31.53,7.09
Tirap,4.84,7.28,10.21,15.19,15.52,34.29,12.67
Lower Subansiri,6.34,8.09,10.81,13.6,13.39,36.01,11.75
Kurung Kumey,1.15,4.06,7.81,11.89,13.86,54.62,6.6
Dibang Valley,20.47,13.9,13.74,13.2,11.87,21.43,5.4
Lower Dibang Valley,8.51,9.54,12.85,18.15,16.98,28.01,5.96
Lohit,5.67,7.87,13.02,19.0,19.27,29.97,5.21
Anjaw,9.31,10.93,13.21,15.81,16.1,30.5,4.14
Mon,2.6,4.69,7.54,11.62,14.11,49.36,10.08
Mokokchung,5.93,9.79,12.7,18.31,19.38,32.16,1.73
Zunheboto,4.92,8.91,11.02,13.8,15.03,40.58,5.76
Wokha,4.07,7.06,9.82,13.67,15.83,45.17,4.39
Dimapur,5.01,10.14,14.73,19.64,17.77,28.31,4.39
Phek,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuensang,3.25,6.99,10.32,13.46,15.06,44.32,6.62
Longleng,10.69,15.02,17.42,16.38,14.99,23.09,2.41
Kiphire,4.76,13.56,13.14,14.54,14.54,34.78,4.7
Kohima,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peren,4.64,7.99,11.42,14.23,15.55,40.75,5.41
Senapati,0.84,7.38,13.43,17.36,17.92,38.3,4.78
Tamenglong,1.08,6.06,12.48,16.22,17.13,38.49,8.53
Churachandpur,1.52,8.94,12.56,16.15,16.84,34.59,9.4
Bishnupur,1.13,5.98,12.78,20.79,21.98,32.99,4.35
Thoubal,1.38,6.21,13.83,22.29,22.34,30.32,3.61
Imphal West,1.8,8.08,17.16,24.41,21.28,24.47,2.81
Imphal East,1.47,6.72,14.3,22.1,21.29,30.0,4.12
Ukhrul,3.55,10.46,13.45,15.47,15.25,34.64,7.18
Chandel,2.01,11.55,17.1,18.59,17.19,29.33,4.23
Mamit,6.03,8.41,13.67,17.72,19.01,30.03,5.14
Kolasib,5.51,8.79,13.86,18.25,19.51,28.52,5.57
Aizawl,4.91,8.78,13.03,18.99,20.52,27.84,5.92
Champhai,5.7,8.36,12.63,17.24,18.91,30.82,6.34
Serchhip,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lunglei,5.16,8.51,12.29,17.73,20.77,30.14,5.38
Lawngtlai,3.06,7.76,13.43,17.66,18.36,33.37,6.36
Saiha,3.73,7.65,11.72,15.83,18.22,34.9,7.94
West Tripura,3.0,9.01,22.91,29.74,18.0,15.69,1.66
South Tripura,3.4,9.22,22.43,29.06,18.24,16.5,1.15
Dhalai,3.2,8.9,18.88,26.18,19.81,21.12,1.92
North Tripura,3.12,8.87,17.61,24.55,19.82,23.25,2.77
West Garo Hills,2.74,7.69,13.53,17.38,17.13,33.83,7.7
East Garo Hills,1.67,6.96,12.73,16.54,16.66,35.87,9.56
South Garo Hills,2.78,6.38,10.65,14.45,15.62,36.88,13.23
West Khasi Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ribhoi,3.87,6.59,11.6,15.34,15.81,35.42,11.37
East Khasi Hills,5.49,9.09,13.96,17.65,16.21,29.11,8.5
Jaintia Hills,3.33,5.57,9.54,12.96,14.41,38.06,16.13
Kokrajhar,2.56,7.26,14.85,22.27,20.01,28.07,4.99
Dhubri,4.41,10.62,16.33,20.29,17.88,25.79,4.68
Goalpara,2.57,7.01,14.5,21.28,19.09,28.76,6.8
Barpeta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morigaon,2.22,7.13,13.83,20.46,18.79,29.49,8.08
Nagaon,2.58,7.8,14.58,20.82,18.54,28.66,7.02
Sonitpur,2.65,7.16,14.86,22.36,19.63,27.92,5.42
Lakhimpur,2.19,5.62,12.98,22.63,20.32,29.21,7.04
Dhemaji,1.75,4.66,11.26,20.86,21.45,32.36,7.68
Tinsukia,3.42,7.58,13.62,21.27,20.06,28.37,5.68
Dibrugarh,2.82,7.48,14.77,23.84,20.45,26.0,4.65
Sivasagar,3.14,7.83,16.35,24.8,19.87,23.74,4.26
Jorhat,3.09,7.76,16.57,25.72,19.73,22.76,4.37
Golaghat,2.67,7.17,16.16,24.75,20.18,24.85,4.22
Karbi Anglong,2.68,6.03,11.91,18.45,18.85,33.49,8.6
Dima Hasao,5.42,7.51,13.48,19.09,17.75,29.98,6.78
Cachar,4.37,11.1,16.59,20.77,18.02,25.36,3.79
Karimganj,4.88,10.29,14.23,17.51,16.51,29.26,7.31
