District_Name,Percentage_Size_1_HH,Percentage_Size_2_HH,Percentage_Size_3_HH,Percentage_Size_4_HH,Percentage_Size_5_HH,Percentage_Size_6_8_HH,Percentage_9_Above_HH
Hailakandi,6.02,11.79,15.57,18.65,17.0,26.49,4.48
Bongaigaon,3.19,7.29,15.62,22.95,18.54,26.01,6.4
Chirang,2.47,7.04,14.74,21.48,19.94,28.82,5.51
Kamrup,2.11,5.81,13.3,24.68,22.36,26.18,5.54
Kamrup Metropolitan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nalbari,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baksa,1.93,5.93,12.89,23.72,22.08,27.66,5.8
Darrang,3.06,7.26,15.12,22.84,18.85,26.96,5.91
Udalguri,2.32,6.79,13.83,22.67,21.22,27.83,5.33
Darjiling,3.38,8.43,17.76,24.95,18.89,22.45,4.14
Jalpaiguri,3.18,8.54,17.17,26.12,21.09,21.24,2.66
Koch Bihar,3.95,9.97,17.93,28.34,20.65,17.43,1.72
Uttar Dinajpur,2.46,7.87,13.69,21.12,19.84,29.96,5.05
Dakshin Dinajpur,3.35,9.76,19.72,29.05,19.6,16.6,1.91
Maldah,3.1,9.12,15.35,23.11,20.26,24.99,4.07
Murshidabad,3.77,10.21,16.76,25.36,19.58,20.55,3.78
Birbhum,4.08,10.85,18.69,27.48,18.73,17.49,2.68
Barddhaman,3.7,9.44,19.07,27.66,17.77,17.78,4.58
Nadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Twenty Four Parganas,3.32,10.65,23.75,27.35,16.58,15.65,2.71
Hugli,3.98,10.33,21.55,27.86,16.56,15.6,4.11
Bankura,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puruliya,3.38,7.38,12.05,22.01,20.03,26.59,8.55
Haora,3.32,8.97,20.74,26.31,17.04,18.77,4.85
Kolkata,5.2,12.56,23.64,23.25,14.4,16.4,4.56
South Twenty Four Parganas,2.42,8.2,19.37,26.5,18.51,20.84,4.16
Paschim Medinipur,3.19,8.21,17.1,29.16,19.01,18.95,4.38
Purba Medinipur,2.79,7.88,17.48,29.17,19.15,18.81,4.72
Garhwa,1.99,10.6,10.33,15.74,20.05,34.73,6.57
Chatra,1.89,7.51,8.56,14.11,18.86,37.84,11.22
Kodarma,1.99,5.05,7.11,13.11,19.02,37.62,16.1
Giridih,1.41,5.63,7.6,13.76,18.58,37.31,15.7
Deoghar,1.66,7.06,9.94,17.9,19.11,32.92,11.42
Godda,2.5,9.46,12.0,18.21,19.19,31.7,6.94
Sahibganj,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhanbad,3.02,6.67,10.79,19.87,20.35,30.79,8.53
Bokaro,2.64,7.4,10.71,20.01,21.32,30.54,7.38
Lohardaga,2.82,7.7,10.55,16.19,18.81,35.91,8.01
Purbi Singhbhum,3.54,8.73,14.71,23.7,19.21,24.16,5.95
Palamu,1.81,8.81,9.94,15.92,20.02,35.17,8.33
Latehar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hazaribagh,1.93,6.43,8.17,15.57,21.06,35.58,11.25
Ramgarh,3.25,6.85,9.96,18.7,21.68,32.09,7.48
Dumka,3.19,10.39,13.98,20.57,19.36,28.07,4.43
Jamtara,2.6,8.42,12.55,20.33,18.36,29.12,8.61
Ranchi,2.76,7.36,11.79,20.44,20.57,30.14,6.94
Khunti,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gumla,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simdega,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pashchimi Singhbhum,4.31,9.54,13.3,18.0,17.54,30.84,6.47
Saraikela-Kharsawan,3.52,9.34,14.14,21.88,19.29,26.48,5.36
Bargarh,5.01,15.66,19.65,24.9,17.56,15.82,1.4
Jharsuguda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sambalpur,5.1,13.2,18.45,24.72,18.15,18.4,1.98
Debagarh,4.63,13.35,18.35,24.08,17.8,18.76,3.03
Sundargarh,4.67,11.69,17.2,23.42,18.16,21.68,3.19
Kendujhar,3.53,10.35,16.3,24.19,19.72,23.41,2.51
Mayurbhanj,5.48,12.13,16.68,23.26,18.14,21.53,2.79
Baleshwar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhadrak,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendrapara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jagatsinghapur,3.65,9.03,16.05,26.28,20.63,20.19,4.17
Cuttack,3.31,9.45,17.01,26.32,19.92,19.65,4.33
Jajapur,3.25,9.66,15.88,23.79,20.53,22.77,4.11
Dhenkanal,3.28,12.17,17.64,25.93,19.93,18.85,2.2
Anugul,3.68,11.74,17.84,26.25,18.83,19.2,2.45
Nayagarh,3.0,11.72,17.84,27.63,19.91,17.38,2.52
Khordha,3.69,9.1,17.29,26.27,19.08,19.81,4.76
Puri,2.43,8.07,15.7,25.74,21.31,22.14,4.6
Ganjam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gajapati,5.14,11.24,14.25,20.77,18.8,25.6,4.21
Kandhamal,5.51,14.02,16.9,19.55,17.18,24.09,2.74
Baudh,4.74,15.8,18.84,22.04,18.02,19.37,1.2
Subarnapur,4.51,15.3,19.57,23.57,18.37,17.53,1.17
Balangir,4.39,16.75,19.75,23.37,17.56,16.72,1.45
Nuapada,4.19,16.91,18.88,21.97,17.95,18.72,1.37
Kalahandi,4.86,18.54,19.95,22.02,17.01,16.54,1.08
Rayagada,6.16,13.91,16.34,20.85,17.84,22.31,2.58
Nabarangapur,4.44,14.48,16.01,19.2,18.03,24.84,3.0
Koraput,7.27,16.81,16.62,20.24,17.42,19.89,1.75
Malkangiri,4.64,12.54,15.86,20.39,19.61,24.86,2.1
Koriya,6.32,14.7,15.15,20.14,18.49,22.45,2.77
Surguja,5.0,14.31,13.81,19.08,19.17,26.0,2.64
Jashpur,4.95,12.95,13.82,19.12,19.19,26.62,3.34
Raigarh,6.1,13.37,15.84,24.7,18.29,18.51,3.19
Korba,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janjgir - Champa,6.46,12.92,12.97,19.42,18.79,24.97,4.46
Kabeerdham,5.49,13.77,12.47,18.28,19.76,25.45,4.78
Rajnandgaon,5.47,10.06,11.19,18.91,21.05,26.79,6.53
Durg,4.92,9.98,11.83,21.41,20.97,24.85,6.04
Raipur,4.9,11.63,13.25,20.41,20.04,24.36,5.41
Mahasamund,6.43,15.17,14.62,22.65,18.76,19.71,2.66
Dhamtari,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Bastar Kanker,4.89,10.07,13.06,21.02,20.55,26.5,3.91
Bastar,4.83,12.88,14.91,18.95,18.68,26.66,3.1
Narayanpur,4.49,9.78,12.93,17.1,18.28,32.36,5.06
Dakshin Bastar Dantewada,6.1,14.05,16.5,19.44,17.3,24.0,2.61
Bijapur,3.35,7.73,10.55,18.77,20.93,29.82,8.84
Sheopur,4.64,12.68,12.5,17.89,19.79,28.98,3.52
Morena,3.39,8.95,9.75,16.56,19.59,32.29,9.47
Bhind,3.33,7.47,8.56,15.45,18.45,34.01,12.74
Gwalior,2.54,7.29,10.57,19.82,20.74,30.55,8.49
Datia,4.67,10.2,11.38,20.52,20.08,27.09,6.06
Shivpuri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tikamgarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chhatarpur,4.83,10.88,10.26,16.19,19.31,32.0,6.52
Panna,6.67,13.77,12.5,18.95,19.51,25.78,2.83
Sagar,5.09,12.67,12.96,20.06,20.38,25.39,3.44
Damoh,6.18,15.08,14.05,21.56,20.46,20.74,1.93
Satna,5.33,12.74,11.62,18.85,20.11,26.83,4.52
Rewa,6.32,14.48,12.22,18.47,18.56,25.93,4.02
Umaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neemuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandsaur,4.25,10.97,13.06,23.12,19.57,24.76,4.27
Ratlam,3.9,10.08,12.05,20.83,19.9,27.73,5.5
Ujjain,3.46,8.69,11.06,21.58,20.3,27.73,7.18
Shajapur,3.73,9.74,10.74,20.42,19.99,28.98,6.39
Dewas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhar,3.27,8.71,10.29,19.7,19.89,30.85,7.28
Indore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khargone (West Nimar),3.82,9.4,10.35,19.15,20.0,30.35,6.92
Barwani,2.3,7.3,8.62,15.03,18.61,36.68,11.47
Rajgarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vidisha,4.36,10.8,11.76,18.23,20.26,30.22,4.37
Bhopal,3.61,9.39,13.81,23.67,20.36,24.7,4.47
Sehore,3.14,9.35,10.3,19.15,21.03,31.25,5.78
Raisen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Betul,3.63,9.2,11.53,21.45,21.45,28.32,4.41
Harda,3.33,8.8,10.94,19.52,20.73,30.18,6.51
Hoshangabad,3.94,9.17,11.58,21.22,21.83,27.64,4.63
Katni,5.45,12.89,12.98,20.57,21.27,24.29,2.55
Jabalpur,3.84,10.37,13.74,24.56,21.75,21.92,3.82
Narsimhapur,4.39,12.94,14.06,25.5,20.29,20.28,2.54
Dindori,6.33,15.31,15.04,21.95,20.09,19.87,1.41
Mandla,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chhindwara,4.21,9.31,11.47,22.01,22.22,26.9,3.87
Seoni,5.3,12.13,13.05,22.83,21.85,22.88,1.96
Balaghat,5.23,11.6,13.93,23.08,21.39,22.69,2.08
Guna,3.06,10.67,10.63,18.25,20.44,31.23,5.72
Ashoknagar,4.11,11.47,11.36,18.94,20.05,29.17,4.91
Shahdol,6.53,16.29,15.06,19.61,18.56,21.6,2.35
Anuppur,6.33,13.55,14.03,20.34,19.41,23.25,3.09
Sidhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singrauli,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhabua,1.63,6.64,8.92,15.5,18.22,38.68,10.41
Alirajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khandwa (East Nimar),4.35,10.02,11.23,19.18,20.85,29.03,5.35
Burhanpur,3.44,8.6,11.03,19.14,20.08,30.1,7.61
Kachchh,5.69,11.96,13.62,19.69,18.24,25.87,4.94
Banas Kantha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahesana,4.4,9.6,11.1,22.48,21.07,26.83,4.52
Sabar Kantha,3.69,8.18,10.3,20.57,20.84,30.33,6.08
Gandhinagar,4.18,8.89,12.35,24.03,20.57,25.04,4.96
Ahmadabad,3.4,8.83,14.11,25.14,19.69,23.41,5.43
Surendranagar,3.85,9.74,9.54,18.75,20.41,30.85,6.85
Rajkot,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamnagar,3.22,9.29,11.79,21.25,20.03,27.78,6.65
Porbandar,4.2,9.77,12.61,23.87,20.57,24.21,4.77
Junagadh,2.94,8.11,10.53,21.35,20.68,28.73,7.65
Amreli,3.2,10.63,9.3,17.57,20.09,32.21,7.01
Bhavnagar,3.06,9.01,8.95,17.21,20.5,32.68,8.6
Anand,4.27,9.33,12.25,22.19,19.78,25.85,6.33
Kheda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panch Mahals,3.67,8.41,9.75,17.55,18.83,32.68,9.11
Dohad,1.56,5.05,6.55,12.48,16.72,40.82,16.83
Vadodara,4.0,9.94,14.13,24.18,18.77,23.41,5.58
Narmada,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bharuch,4.76,10.33,13.54,23.46,19.97,22.82,5.12
The Dangs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navsari,4.56,10.18,14.16,26.66,19.56,20.86,4.03
Valsad,4.22,9.86,14.13,24.58,18.97,23.23,5.02
Surat,3.71,9.71,14.88,26.24,19.56,21.28,4.61
Tapi,3.54,11.58,12.0,25.01,19.63,25.04,3.19
Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,6.84,16.52,21.0,25.2,14.98,12.86,2.61
Dadra AND Nagar Haveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nandurbar,3.01,10.23,11.26,20.11,19.65,29.18,6.58
Dhule,3.42,8.34,10.25,22.08,20.94,27.56,7.41
Jalgaon,4.27,9.75,12.41,24.29,20.79,23.33,5.16
Buldana,3.97,10.5,12.68,24.29,21.23,23.13,4.19
Akola,3.47,10.43,13.35,24.91,21.63,22.01,4.21
Washim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amravati,3.74,10.74,14.18,26.99,21.41,19.59,3.34
Wardha,4.45,11.18,14.94,30.37,21.3,15.72,2.04
Nagpur,3.62,9.19,14.99,28.81,21.27,18.3,3.82
Bhandara,4.3,9.82,14.12,28.83,22.44,18.46,2.03
Gondiya,3.89,9.19,12.7,26.37,22.62,22.24,2.99
Gadchiroli,5.15,12.36,14.44,26.7,20.15,18.76,2.44
Chandrapur,4.87,12.05,15.44,30.61,20.47,14.88,1.67
Yavatmal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nanded,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hingoli,2.52,8.12,9.72,21.35,21.92,29.25,7.12
Parbhani,2.54,8.89,10.34,20.59,21.54,29.48,6.62
Jalna,3.17,9.04,10.36,21.29,21.34,28.19,6.6
Nashik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,4.46,10.46,17.29,26.06,18.23,19.13,4.37
Mumbai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pune,4.65,11.38,16.98,27.36,17.58,17.54,4.51
Ahmadnagar,3.71,9.1,10.69,24.15,20.06,25.08,7.2
Bid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latur,2.46,7.93,10.02,21.93,22.37,28.32,6.97
Osmanabad,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solapur,3.98,9.03,10.78,23.16,20.69,25.07,7.29
Satara,5.37,10.53,13.0,24.57,18.62,21.54,6.37
Ratnagiri,9.48,15.32,15.7,21.42,16.89,17.44,3.75
Sindhudurg,9.36,14.61,15.82,22.66,17.16,16.58,3.79
Kolhapur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sangli,4.46,9.69,12.99,24.56,19.12,22.46,6.72
Adilabad,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nizamabad,3.93,11.41,15.95,27.62,20.68,18.28,2.13
Karimnagar,5.63,14.94,16.95,31.22,18.02,12.28,0.96
Medak,2.95,9.78,14.47,26.72,21.66,21.0,3.42
Hyderabad,2.32,10.26,15.38,26.79,19.79,20.62,4.83
Rangareddy,2.37,11.02,17.51,31.7,19.25,15.5,2.64
Mahbubnagar,2.94,9.11,13.84,25.8,22.32,21.89,4.11
Nalgonda,5.16,13.73,16.55,30.95,18.63,13.64,1.35
Warangal,4.92,13.99,0.0,0.0,18.32,13.17,1.17
Khammam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Srikakulam,6.22,12.55,17.14,32.57,17.67,12.46,1.4
Vizianagaram,5.17,12.48,17.58,32.33,17.7,13.42,1.31
Visakhapatnam,4.8,12.84,19.03,33.83,16.97,11.5,1.02
East Godavari,6.81,16.99,19.55,33.3,14.82,7.99,0.53
West Godavari,6.56,17.95,19.62,33.77,13.97,7.67,0.46
Krishna,6.6,17.78,19.21,33.99,14.01,7.77,0.64
Guntur,6.45,16.51,17.82,32.08,15.55,10.8,0.79
Prakasam,5.95,15.19,16.91,29.35,17.67,13.52,1.41
Sri Potti Sriramulu Nellore,6.59,16.13,18.89,31.48,15.76,10.29,0.86
Y.S.R.,5.11,13.25,17.03,28.62,19.17,15.17,1.65
Kurnool,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,3.81,11.08,16.24,30.32,20.47,15.94,2.14
Chittoor,5.4,12.93,17.2,30.47,18.66,13.97,1.36
Belgaum,3.91,8.52,12.7,23.79,20.67,23.54,6.86
Bagalkot,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bidar,2.72,6.9,9.05,17.14,21.88,34.32,7.99
Raichur,3.2,7.52,11.01,18.69,19.91,30.41,9.25
Koppal,3.34,7.4,0.0,19.12,0.0,28.92,9.69
Gadag,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dharwad,3.32,8.61,14.21,24.77,20.97,21.47,6.65
Uttara Kannada,4.99,9.49,15.2,26.33,20.34,19.2,4.44
Haveri,3.1,7.85,13.13,24.85,22.02,23.2,5.85
Bellary,3.12,7.68,12.21,22.26,21.12,26.37,7.24
Chitradurga,3.25,8.21,13.65,25.84,20.83,23.1,5.11
Davanagere,2.69,7.73,13.48,0.0,0.0,22.17,5.83
Shimoga,3.72,9.29,16.21,31.08,19.75,16.68,3.27
Udupi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chikmagalur,4.4,10.4,17.67,31.08,18.24,15.53,2.67
Tumkur,5.11,10.59,17.2,28.76,18.04,17.44,2.87
Bangalore,4.46,13.23,21.34,29.95,15.6,13.08,2.35
Mandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hassan,4.49,10.15,17.29,32.46,17.9,15.66,2.05
Dakshina Kannada,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kodagu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mysore,4.03,9.81,17.23,31.34,17.85,16.49,3.25
Chamarajanagar,5.06,11.19,17.07,29.11,18.13,16.74,2.69
Gulbarga,2.91,6.83,9.44,16.71,20.65,34.04,9.41
Yadgir,3.04,6.13,8.7,14.51,18.19,35.66,13.76
Kolar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chikkaballapura,4.42,10.12,15.34,28.29,18.75,19.49,3.59
Bangalore Rural,4.29,10.35,16.69,30.03,17.41,17.56,3.66
Ramanagara,5.41,10.63,16.99,29.74,17.41,17.08,2.75
North Goa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Goa,5.33,11.52,18.56,26.68,17.85,16.09,3.98
Lakshadweep,6.08,6.26,9.02,14.67,13.65,28.66,21.66
Kasaragod,3.1,8.49,14.78,25.47,18.67,21.79,7.71
Kannur,3.63,10.02,16.04,27.56,17.28,18.72,6.75
Wayanad,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kozhikode,2.98,9.32,16.69,29.04,19.28,17.95,4.73
Malappuram,2.48,6.45,11.99,21.85,21.09,25.92,10.23
Palakkad,4.31,9.89,15.66,27.84,19.31,17.9,5.09
Thrissur,3.77,11.66,18.64,30.7,17.79,14.4,3.05
Ernakulam,3.01,10.76,18.94,34.23,18.62,13.13,1.31
Idukki,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kottayam,3.23,11.36,17.59,31.31,19.86,15.4,1.25
Alappuzha,3.84,11.49,19.42,31.91,18.39,13.41,1.54
Pathanamthitta,5.34,15.02,20.23,29.5,16.94,11.94,1.02
Kollam,4.03,11.58,19.97,33.33,17.04,12.63,1.43
Thiruvananthapuram,5.01,12.03,18.87,32.77,17.0,12.54,1.78
Thiruvallur,3.41,12.66,19.72,34.28,17.54,11.04,1.34
Chennai,2.76,12.57,21.5,34.12,16.5,11.11,1.44
Kancheepuram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vellore,3.91,10.93,16.12,28.88,21.42,17.19,1.55
Tiruvannamalai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viluppuram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salem,5.98,15.42,19.19,30.24,17.17,11.32,0.68
Namakkal,7.72,18.29,20.97,30.62,14.09,7.96,0.35
Erode,8.46,18.84,23.14,30.9,11.85,6.43,0.38
The Nilgiris,6.71,14.68,19.57,32.84,15.48,9.89,0.84
Dindigul,5.38,14.83,19.05,30.62,17.03,12.16,0.93
Karur,7.56,15.89,20.11,28.81,15.39,11.21,1.04
Tiruchirappalli,6.26,14.02,18.91,29.34,17.65,12.75,1.07
Perambalur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ariyalur,6.56,15.25,17.67,26.68,19.15,14.01,0.68
Cuddalore,3.96,11.9,16.81,30.13,20.7,15.32,1.18
Nagapattinam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiruvarur,5.6,13.52,18.23,30.31,19.42,12.06,0.86
Thanjavur,5.24,12.83,18.41,29.77,18.87,13.66,1.22
Pudukkottai,4.36,10.83,15.61,28.12,21.79,17.53,1.75
Sivaganga,5.73,13.03,17.55,29.54,19.07,13.51,1.57
Madurai,5.1,14.19,19.34,32.45,17.44,10.4,1.07
Theni,6.54,15.69,19.68,32.28,15.57,9.51,0.74
Virudhunagar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramanathapuram,3.86,11.35,16.38,28.54,20.5,17.03,2.34
Thoothukkudi,8.08,14.99,17.66,27.83,17.63,12.74,1.07
Tirunelveli,7.59,14.83,17.78,28.95,18.02,11.79,1.05
Kanniyakumari,4.63,11.2,17.42,35.16,18.67,11.74,1.18
Dharmapuri,4.87,12.9,16.17,30.09,20.14,14.78,1.05
Krishnagiri,3.98,10.71,16.54,30.36,19.72,16.91,1.78
Coimbatore,4.93,16.46,24.36,33.23,13.06,7.33,0.64
Tiruppur,6.23,18.36,24.13,32.41,12.21,6.26,0.42
Yanam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PONDICHERRY,3.4,10.97,18.42,33.72,18.35,13.5,1.65
Mahe,2.57,5.59,11.41,23.0,15.05,23.75,18.65
Karaikal,5.78,11.64,18.14,30.13,18.84,13.73,1.73
Nicobars,9.64,14.48,19.62,23.36,15.05,14.49,3.36
North  AND Middle Andaman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Andaman,6.48,11.02,18.95,29.89,16.92,13.5,3.24
